Tender ID,Tender Title,Product,Technical Requirement,Mentioned Standard,Page,Evidence,Potential Standard Issue,Human Verified,Expected/Applicable Standard,Verification Evidence,Verification Source,Reviewer Notes
T005,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics and Electrical renovation work including replacement of old Power Sockets in Algal Culture Room, Old Building in Department of Botany, BHU",Electrical Works,Cable connection of DG Set in Newly constructed building of the Dept. of Molecular,,1,Clause from Scope: Cable connection of DG Set in Newly constructed building of the Dept. of Molecular,,FALSE,,,,
T005,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics and Electrical renovation work including replacement of old Power Sockets in Algal Culture Room, Old Building in Department of Botany, BHU",Electrical Works,"renovation work including replacement of old Power Sockets in Algal Culture Room, Old Building in Department of Botany,",,2,"Page 2 line: renovation work including replacement of old Power Sockets in Algal Culture Room, Old Building in Department of Botany,",,FALSE,,,,
T005,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics and Electrical renovation work including replacement of old Power Sockets in Algal Culture Room, Old Building in Department of Botany, BHU",Electrical Works,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics and Electrical",,2,"Document Specification: Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics and Electrical",,FALSE,,,,
T006,"UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory at Central Laboratory (CAGPFTL), RGCA-HQ, Karaimedu, Sirkali",Civil Works - Others,"UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory at Central Laboratory (CAGPFTL), RGCA-HQ, Karaimedu, Sirkali",,1,"Title/Scope: UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory at Central Laboratory (CAGPFTL), RGCA-HQ, Karaimedu, Sirkali",,FALSE,,,,
T006,"UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory at Central Laboratory (CAGPFTL), RGCA-HQ, Karaimedu, Sirkali",Civil Works - Others,UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory at Central Laboratory (CAGPFTL),,1,Clause from Scope: UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory at Central Laboratory (CAGPFTL),,FALSE,,,,
T006,"UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory at Central Laboratory (CAGPFTL), RGCA-HQ, Karaimedu, Sirkali",Civil Works - Others,UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory,,1,Page 1 line: UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory,,FALSE,,,,
T006,"UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory at Central Laboratory (CAGPFTL), RGCA-HQ, Karaimedu, Sirkali",Civil Works - Others,Notice Inviting Tender,,2,Document Specification: Notice Inviting Tender,,FALSE,,,,
T006,"UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory at Central Laboratory (CAGPFTL), RGCA-HQ, Karaimedu, Sirkali",Civil Works - Others,Bill of Quantity,,2,Document Specification: Bill of Quantity,,FALSE,,,,
T007,Tender for Opening of Himalayan Low-Oil Food Outlet on BOT basis at IIT Ropar,Hotel/ Catering,Tender for Opening of Himalayan Low-Oil Food Outlet on BOT basis at IIT Ropar,,1,Title/Scope: Tender for Opening of Himalayan Low-Oil Food Outlet on BOT basis at IIT Ropar,,FALSE,,,,
T007,Tender for Opening of Himalayan Low-Oil Food Outlet on BOT basis at IIT Ropar,Hotel/ Catering,Tender for Opening of Himalayan Low-Oil Food Outlet on,,2,Document Specification: Tender for Opening of Himalayan Low-Oil Food Outlet on,,FALSE,,,,
T007,Tender for Opening of Himalayan Low-Oil Food Outlet on BOT basis at IIT Ropar,Hotel/ Catering,Low-Oil Food Outlet on BOT,,2,Page 2 line: Low-Oil Food Outlet on BOT,,FALSE,,,,
T007,Tender for Opening of Himalayan Low-Oil Food Outlet on BOT basis at IIT Ropar,Hotel/ Catering,Tender for Opening of Himalayan,,2,Document Specification: Tender for Opening of Himalayan,,FALSE,,,,
T008,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",Machineries/ Mechanical Engg Items,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",,1,"Title/Scope: Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",,FALSE,,,,
T008,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",Machineries/ Mechanical Engg Items,Valve Replacement,,1,Clause from Scope: Valve Replacement,,FALSE,,,,
T008,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",Machineries/ Mechanical Engg Items,Flange Joint Maintenance,,1,Clause from Scope: Flange Joint Maintenance,,FALSE,,,,
T008,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",Machineries/ Mechanical Engg Items,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint",,1,"Page 1 line: Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint",,FALSE,,,,
T009,Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD Kharsang and FSD Pasighat under DO Pasighat for FY 26-27,Electrical Works,Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD Kharsang and FSD Pasighat under DO Pasighat for FY 26-27,,1,Title/Scope: Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD Kharsang and FSD Pasighat under DO Pasighat for FY 26-27,,FALSE,,,,
T009,Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD Kharsang and FSD Pasighat under DO Pasighat for FY 26-27,Electrical Works,Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD,,1,Page 1 line: Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD,,FALSE,,,,
T010,Electromechanical Works and Sewerage Pipeline works from Collection Chamber to STP,Civil Works - Others,Sewerage Pipeline works from Collection Chamber to STP 9/4/26,,1,Clause from Scope: Sewerage Pipeline works from Collection Chamber to STP 9/4/26,,FALSE,,,,
T010,Electromechanical Works and Sewerage Pipeline works from Collection Chamber to STP,Civil Works - Others,Electromechanical Works and Sewerage Pipeline works from Collection Chamber to STP,,1,Page 1 line: Electromechanical Works and Sewerage Pipeline works from Collection Chamber to STP,,FALSE,,,,
T011,Providing and laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,Electrical Works,Providing and laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,,1,Title/Scope: Providing and laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,,FALSE,,,,
T011,Providing and laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,Electrical Works,laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,,1,Clause from Scope: laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,,FALSE,,,,
T012,"Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump Room of Maurice Nagar, University of Delhi",Civil Works,"Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump Room of Maurice Nagar, University of Delhi",,1,"Title/Scope: Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump Room of Maurice Nagar, University of Delhi",,FALSE,,,,
T012,"Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump Room of Maurice Nagar, University of Delhi",Civil Works,Plaster Repairing,,1,Clause from Scope: Plaster Repairing,,FALSE,,,,
T012,"Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump Room of Maurice Nagar, University of Delhi",Civil Works,Plumbing Fittings,,1,Clause from Scope: Plumbing Fittings,,FALSE,,,,
T012,"Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump Room of Maurice Nagar, University of Delhi",Civil Works,other allied works in Strom Water Pump Room of Maurice Nagar,,1,Clause from Scope: other allied works in Strom Water Pump Room of Maurice Nagar,,FALSE,,,,
T012,"Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump Room of Maurice Nagar, University of Delhi",Civil Works,"Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump",,1,"Page 1 line: Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump",,FALSE,,,,
T012,"Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump Room of Maurice Nagar, University of Delhi",Civil Works,"Repair and CC Works, Plaster Repairing, Plumbing Fittings,",,2,"Document Specification: Repair and CC Works, Plaster Repairing, Plumbing Fittings,",,FALSE,,,,
T013,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West Bengal",Electrical Works,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West Bengal",,1,"Title/Scope: SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West Bengal",,FALSE,,,,
T013,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West Bengal",Electrical Works,SITC of VFD water pump panel,,1,Clause from Scope: SITC of VFD water pump panel,,FALSE,,,,
T013,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West Bengal",Electrical Works,Insulation work,,1,Clause from Scope: Insulation work,,FALSE,,,,
T013,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West Bengal",Electrical Works,replacement of by valves at ESI,,1,Clause from Scope: replacement of by valves at ESI,,FALSE,,,,
T013,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West Bengal",Electrical Works,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West",,1,"Page 1 line: SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West",,FALSE,,,,
T013,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West Bengal",Electrical Works,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI Hospital Durgapur, West",,1,"Document Specification: SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI Hospital Durgapur, West",,FALSE,,,,
T014,"Design, manufacturing, inspection, supply, installation, testing and commissioning of three numbers of Process Water Pump motors 3.3 kV, 440 kW at Dhruva, BARC, Mumbai 400085",Electrical Works,"Design, manufacturing, inspection, supply, installation, testing and commissioning of three numbers of Process Water Pump motors 3.3 kV, 440 kW at Dhruva, BARC, Mumbai 400085",,1,"Title/Scope: Design, manufacturing, inspection, supply, installation, testing and commissioning of three numbers of Process Water Pump motors 3.3 kV, 440 kW at Dhruva, BARC, Mumbai 400085",,FALSE,,,,
T014,"Design, manufacturing, inspection, supply, installation, testing and commissioning of three numbers of Process Water Pump motors 3.3 kV, 440 kW at Dhruva, BARC, Mumbai 400085",Electrical Works,commissioning of three numbers of Process Water Pump motors 3.3 kV,,1,Clause from Scope: commissioning of three numbers of Process Water Pump motors 3.3 kV,,FALSE,,,,
T014,"Design, manufacturing, inspection, supply, installation, testing and commissioning of three numbers of Process Water Pump motors 3.3 kV, 440 kW at Dhruva, BARC, Mumbai 400085",Electrical Works,"Design, manufacturing, inspection, supply, installation, testing and commissioning of three numbers of Process Water Pump",,1,"Page 1 line: Design, manufacturing, inspection, supply, installation, testing and commissioning of three numbers of Process Water Pump",,FALSE,,,,
T015,"Construction of shed for waste collection in CDH 1 and CDH 2 at IISER Campus, Vithura",Civil Works,"Construction of shed for waste collection in CDH 1 and CDH 2 at IISER Campus, Vithura",,1,"Title/Scope: Construction of shed for waste collection in CDH 1 and CDH 2 at IISER Campus, Vithura",,FALSE,,,,
T015,"Construction of shed for waste collection in CDH 1 and CDH 2 at IISER Campus, Vithura",Civil Works,Construction of shed for waste collection in CDH 1,,1,Clause from Scope: Construction of shed for waste collection in CDH 1,,FALSE,,,,
T016,Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub Head Electrical,Electrical Works Sub category Electrical work,Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub Head Electrical 9/4/26,,1,Clause from Scope: Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub Head Electrical 9/4/26,,FALSE,,,,
T016,Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub Head Electrical,Electrical Works Sub category Electrical work,Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub,,1,Page 1 line: Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub,,FALSE,,,,
T017,COMPLETE DESIGN ENGINEERING PROCUREMENT FABRICATION CONSTRUCTION ERECTION TESTING COMMISSIONING OF RAW WATER PIPELINE FROM INTAKE WELL TO RAW WATER RESERVOIR FOR COAL TO AMMONIUM NITRATE 2000TPD PLANT OF BCGCL AT LAKHANPUR JHARSUGUDA,Pipe Laying Works,COMPLETE DESIGN ENGINEERING PROCUREMENT FABRICATION CONSTRUCTION ERECTION TESTING COMMISSIONING OF RAW WATER PIPELINE FROM INTAKE WELL TO RAW WATER RESERVOIR FOR COAL TO AMMONIUM NITRATE 2000TPD PLANT OF BCGCL AT LAKHANPUR JHARSUGUDA,,1,Title/Scope: COMPLETE DESIGN ENGINEERING PROCUREMENT FABRICATION CONSTRUCTION ERECTION TESTING COMMISSIONING OF RAW WATER PIPELINE FROM INTAKE WELL TO RAW WATER RESERVOIR FOR COAL TO AMMONIUM NITRATE 2000TPD PLANT OF BCGCL AT LAKHANPUR JHARSUGUDA,,FALSE,,,,
T017,COMPLETE DESIGN ENGINEERING PROCUREMENT FABRICATION CONSTRUCTION ERECTION TESTING COMMISSIONING OF RAW WATER PIPELINE FROM INTAKE WELL TO RAW WATER RESERVOIR FOR COAL TO AMMONIUM NITRATE 2000TPD PLANT OF BCGCL AT LAKHANPUR JHARSUGUDA,Pipe Laying Works,COMMISSIONING OF RAW WATER PIPELINE FROM INTAKE WELL TO RAW WATER RESERVOIR FOR COAL TO,,1,Page 1 line: COMMISSIONING OF RAW WATER PIPELINE FROM INTAKE WELL TO RAW WATER RESERVOIR FOR COAL TO,,FALSE,,,,
T017,COMPLETE DESIGN ENGINEERING PROCUREMENT FABRICATION CONSTRUCTION ERECTION TESTING COMMISSIONING OF RAW WATER PIPELINE FROM INTAKE WELL TO RAW WATER RESERVOIR FOR COAL TO AMMONIUM NITRATE 2000TPD PLANT OF BCGCL AT LAKHANPUR JHARSUGUDA,Pipe Laying Works,COMPLETE DESIGN ENGINEERING PROCUREMENT FABRICATION CONSTRUCTION ERECTION TESTING,,1,Document Specification: COMPLETE DESIGN ENGINEERING PROCUREMENT FABRICATION CONSTRUCTION ERECTION TESTING,,FALSE,,,,
T018,Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub Head Electrical,Electrical Works Sub category Electrical work,Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub Head Electrical 9/4/26,,1,Clause from Scope: Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub Head Electrical 9/4/26,,FALSE,,,,
T018,Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub Head Electrical,Electrical Works Sub category Electrical work,Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub,,1,Page 1 line: Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub,,FALSE,,,,
T019,Consultancy services for Authority s Engineer for Supervision of Construction of 4 Lane Access Controlled Bypass to Tiruvannamalai Town starting from Design km 135.796 of NH-234 (km 75.150 of new NH-38) and ending at Design km 158.506 of NH-234(km 88,Consultancy Sub category NA,Consultancy services for Authority s Engineer for Supervision of Construction of 4 Lane Access Controlled Bypass to Tiruvannamalai Town starting from Design km 135.796 of NH-234 (km 75.150 of new NH-38) and ending at Design km 158.506 of NH-234(km 88,,1,Title/Scope: Consultancy services for Authority s Engineer for Supervision of Construction of 4 Lane Access Controlled Bypass to Tiruvannamalai Town starting from Design km 135.796 of NH-234 (km 75.150 of new NH-38) and ending at Design km 158.506 of NH-234(km 88,,FALSE,,,,
T019,Consultancy services for Authority s Engineer for Supervision of Construction of 4 Lane Access Controlled Bypass to Tiruvannamalai Town starting from Design km 135.796 of NH-234 (km 75.150 of new NH-38) and ending at Design km 158.506 of NH-234(km 88,Consultancy Sub category NA,Consultancy services for Authority s Engineer for Supervision of Construction of 4 Lane Access Controlled Bypass to,,1,Document Specification: Consultancy services for Authority s Engineer for Supervision of Construction of 4 Lane Access Controlled Bypass to,,FALSE,,,,
T020,Repair/ maint of CPVC pipe in lieu of rusted GI pipe at Laitumkhrah Grn,Civil Works,Repair/ maint of CPVC pipe in lieu of rusted GI pipe at Laitumkhrah Grn,,1,Title/Scope: Repair/ maint of CPVC pipe in lieu of rusted GI pipe at Laitumkhrah Grn,,FALSE,,,,
T020,Repair/ maint of CPVC pipe in lieu of rusted GI pipe at Laitumkhrah Grn,Civil Works,Repair/ maint of,,1,Page 1 line: Repair/ maint of,,FALSE,,,,
T020,Repair/ maint of CPVC pipe in lieu of rusted GI pipe at Laitumkhrah Grn,Civil Works,Repair/ maint of CPVC pipe in lieu of rusted GI pipe at,,2,Document Specification: Repair/ maint of CPVC pipe in lieu of rusted GI pipe at,,FALSE,,,,
