tender_id,requirement_id,requirement_text,category,source_page,explicit_standard,applicable_standard,standard_title,standard_status,verification_outcome,verification_method,evidence_source,evidence_reference,evidence_snippet,reasoning,confidence,human_verified,reviewer_notes
T007,T007-R003,Low-Oil Food Outlet on BOT,general_specification,1,,IS 2491 : 2013; IS 15000 : 2013,Food Hygiene - General Principles - Code of Practice (Second Revision); Food safety management systems - Requirements,Active,STANDARD_MISSING,BIS_CATALOGUE,"BIS Catalogue / FAD 15 (Food Hygiene, Safety Management)",IS 2491:2013 Clause 1 Scope,"IS 2491 establishes general principles of food hygiene for premises design, equipment, food operations, sanitation and personal hygiene in catering outlets.",Operating a commercial catering food outlet on a university campus requires strict adherence to national food hygiene codes (IS 2491) and Food Safety and Standards (FSSAI) hygiene guidelines.,High,FALSE,IS 2491 is the Indian Standard equivalent of Codex Alimentarius general principles of food hygiene.
T009,T009-R001,Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD,installation_execution,1,,SP 30 : 2023; IS 732 : 2019,National Electrical Code Of India 2023; Code of practice for electrical wiring installations (Fourth Revision),Active,STANDARD_MISSING,BIS_METADATA,data/standards/standards.xlsx / ETD 20,SP 30:2023 Section 3 (Storage and Warehousing Facilities); IS 732 Clause 6,"SP 30 provides national guidelines for electrical installation, inspection, and maintenance in food storage depots (FSD). IS 732 governs periodic testing of wiring systems.",FCI food storage depots have grain dust safety hazards. Electrical maintenance in storage facilities must comply with the National Electrical Code (SP 30) and wiring maintenance code (IS 732).,High,FALSE,SP 30:2023 was recently reaffirmed/updated as the master electrical code of India.
T010,T010-R001,Sewerage Pipeline works from Collection Chamber to STP 9/4/26,material,1,,IS 458 : 2021; IS 783 : 1985; IS 14333 : 1996,Precast Concrete Pipes (with and without Reinforcement) - Specification; Code of Practice for Laying of Concrete Pipes; High density polyethylene pipes for sewerage,Active,STANDARD_MISSING,BIS_METADATA,data/standards/standards.xlsx / CED 53,IS 458:2021 Scope Clause 1; IS 783:1985 Scope Clause 1,"IS 458 specifies RCC NP2/NP3 precast concrete pipes for gravity sewerage. IS 783 provides civil laying, trenching and jointing practice. Mandatory ISI Mark under Precast Concrete Pipes QCO.",Conveying raw sewage from a collection chamber to a Sewage Treatment Plant (STP) requires underground precast concrete pipes (IS 458) or HDPE pipes (IS 14333) laid under IS 783.,High,FALSE,Both IS 458 and IS 783 are in our active standards repository. Reinforced concrete pipes are mandatory ISI certified.
T011,T011-R001,Providing and laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,material,1,,IS 7098 (Part 1) : 1988; IS 1255 : 1983,Crosslinked polyethylene insulated thermoplastic sheathed cables - Part 1: For working voltage up to and including 1100 V; Code of practice for installation and maintenance of power cables,Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / ETD 9 / Cables QCO,IS 7098 (Part 1) Clause 1; IS 1255 Section 6,"IS 7098 (Part 1) specifies underground armored XLPE power cables up to 1100 V. IS 1255 specifies underground trench dimensions, bedding sand, warning tiles, and cable pulling tension.",The tender explicitly demands providing and laying underground cable for STP main supply. The cable product is governed by IS 7098 Part 1 and underground laying is governed by IS 1255.,High,FALSE,Armoured cable (strip or wire armour) is mandatory for direct burial underground power applications to protect against mechanical injury.
T012,T012-R002,Plaster Repairing,installation_execution,1,,IS 1661 : 1972; IS 269 : 2015,Code of practice for application of cement and cement-lime plaster finishes; Ordinary Portland Cement - Specification,Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / data/standards/standards.xlsx / CED 4 & CED 2,IS 1661:1972 Clause 1 Scope; IS 269:2015 Clause 1,"IS 1661 specifies mix proportions (1:3, 1:4), background surface preparation, application in coats, and curing period for cement plastering. IS 269 governs the OPC cement binder.",Civil repair of damaged wall plaster in a storm water pump room requires adherence to the cement plaster code of practice (IS 1661) and quality cement specification (IS 269).,High,FALSE,CPWD Civil Specifications Section 11 directly mandates IS 1661 for all plastering works.
T012,T012-R003,Plumbing Fittings,product_equipment,1,,IS 1239 (Part 2) : 1992; IS 778 : 1984,"Mild Steel Tubulars and Other Wrought Steel Pipe Fittings; Copper alloy gate, globe and check valves for water works purposes",Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / CED 54 & CED 3,IS 1239 (Part 2) Clause 1; IS 778 Clause 1,"IS 1239 (Part 2) governs steel and malleable iron pipe fittings (tees, elbows, unions). IS 778 governs brass/bronze control valves in plumbing networks.",Plumbing fittings in a storm water pump room encompass threaded steel/wrought pipe fittings (IS 1239 Part 2) and copper-alloy isolation/check valves (IS 778).,High,FALSE,Covered under the general water supply handbook SP 57 in our active repository.
T013,T013-R002,SITC of VFD water pump panel,product_equipment,1,,IS/IEC 61800-2 : 2015; IS/IEC 61439-2 : 2011,Adjustable speed electrical power drive systems - Part 2: General requirements; Low-voltage switchgear and controlgear assemblies - Part 2,Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / ETD 22 & ETD 7,IS/IEC 61800-2 Clause 1; IS/IEC 61439-2 Clause 1,"IS/IEC 61800-2 specifies ratings, performance, and THD harmonic limits for variable frequency drives. IS/IEC 61439-2 covers the motor control center (MCC) enclosure assembly.","Supply, installation, testing and commissioning (SITC) of a Variable Frequency Drive pump control panel requires adherence to drive equipment standards (IS/IEC 61800-2) and switchgear panel assembly standards (IS/IEC 61439-2).",High,FALSE,Hospital water booster pumps use VFDs for constant water pressure control and energy efficiency.
T013,T013-R003,Insulation work,material,1,,IS 14164 : 2008; IS 8183 : 1993,Industrial application and finishing of thermal insulation materials - Code of practice; Bonded mineral wool - Specification,Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / MED 12,IS 14164:2008 Clause 1; IS 8183:1993 Clause 1,"IS 14164 specifies methods for securing and weather-proofing thermal insulation on pipes, valves and pumps. IS 8183 specifies preformed mineral wool insulation material.",Insulation of chilled or hot water hospital pumps and piping prevents condensation and heat loss. IS 14164 is the primary national code of practice governing application and cladding of pipe thermal insulation.,High,FALSE,Aluminum sheet cladding (IS 737) is conventionally applied over mineral wool or elastomeric foam in hospital plant rooms.
T014,T014-R002,commissioning of three numbers of Process Water Pump motors 3.3 kV,product_equipment,1,,IS/IEC 60034-1 : 2017; IS 5120 : 1977,Rotating electrical machines - Part 1: Rating and performance; Technical requirements for rotodynamic special purpose pumps,Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / ETD 15 (Rotating Machines) & MED 20 (Pumps),IS/IEC 60034-1 Clause 1 Scope; IS 5120 Clause 1,"IS/IEC 60034-1 governs high-voltage/medium-voltage (3.3 kV) rotating electric motors, temperature rise, and insulation class. IS 5120 covers special purpose industrial process pumps.","BARC Trombay specifies 3 numbers of 3.3 kV Process Water Pump motors. Medium-voltage heavy motors must comply with IS/IEC 60034-1, while process pump hydraulics and casings follow IS 5120.",High,FALSE,General agricultural pump standards (such as IS 9694) are rejected because this is an industrial 3.3 kV nuclear process cooling water system.
T020,T020-R001,Repair/ maint of CPVC pipe in lieu of rusted GI pipe at Laitumkhrah Grn,material,1,,IS 15778 : 2007; IS 1239 (Part 1) : 2004,"Chlorinated Polyvinyl Chloride (CPVC) Pipes for Potable Hot and Cold Water Supplies - Specification; Steel Tubes, Tubulars and Other Wrought Steel Fittings",Active,STANDARD_MISSING,BIS_CATALOGUE,BIS Catalogue / CED 50 / CPVC Pipes QCO 2023,IS 15778:2007 Clause 1 Scope; IS 1239 (Part 1) Clause 1,"IS 15778 specifies chlorinated polyvinyl chloride (CPVC) pipe dimensions (SDR 11 and SDR 13.5), hydrostatic pressure and water potability. Mandatory ISI Mark under CPVC Pipes QCO.",The tender explicitly calls for replacing rusted GI water pipes with CPVC water pipelines. IS 15778 governs CPVC potable water piping and IS 1239 governs the legacy GI piping being replaced.,High,FALSE,Mandatory ISI Mark certification under CPVC Pipes Quality Control Order 2023. UPVC under IS 4985 is rejected because CPVC was explicitly mandated.
