tender_id,requirement_id,requirement_text,category,source_page,explicit_standard,applicable_standard,standard_title,standard_status,applicability_classification,reasoning,confidence,evidence_source,evidence_reference,reviewer_notes
T007,T007-R003,Low-Oil Food Outlet on BOT,general_specification,1,,IS 2491 : 2013; IS 15000 : 2013,Food Hygiene - General Principles - Code of Practice (Second Revision); Food safety management systems - Requirements for any organization in the food chain,Active,B. POTENTIALLY_RELATED (National food hygiene code of practice and FSMS/HACCP applicable to commercial food outlets),"Commercial food preparation and catering on university premises requires adherence to sanitary hygiene, kitchen layout, and food handling practices codified in IS 2491 (aligned with Codex Alimentarius) and food safety systems under IS 15000.",Medium,BIS Catalogue / FAD 15 (Food Hygiene & Safety Management),IS 2491:2013 Clause 1 Scope; Food Safety and Standards Act 2006 Schedule 4,"QUEUED FOR MANUAL/POLICY REVIEW. Because this is a concession service contract (BOT), primary legal compliance is enforced by FSSAI licensing regulations; BIS standards serve as voluntary benchmark codes of practice."
T009,T009-R001,Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD,installation_execution,1,,SP 30 : 2023; IS 732 : 2019,National Electrical Code Of India 2023; Code of practice for electrical wiring installations (Fourth Revision),Active,A. DIRECTLY_APPLICABLE (SP 30 master code for storage depot electrical installations; IS 732 for periodic wiring inspection and testing),"Food Corporation of India food storage depots (grain godowns) carry combustible dust fire hazards. Routine repair and maintenance of electrical circuits, lighting, and motors must conform to the National Electrical Code of India (SP 30, Part 3) and periodic inspection standards (IS 732).",High,data/standards/standards.xlsx / ETD 20 (Electrical Installation),SP 30:2023 Section 3 (Storage Facilities); IS 732:2019 Clause 6,SP 30:2023 is actively documented in our standards repository.
T010,T010-R001,Sewerage Pipeline works from Collection Chamber to STP 9/4/26,material,1,,IS 458 : 2021; IS 783 : 1985; IS 14333 : 1996,Precast Concrete Pipes (with and without Reinforcement) - Specification; Code of Practice for Laying of Concrete Pipes; High density polyethylene pipes for sewerage,Active,A. DIRECTLY_APPLICABLE (IS 458 & IS 783 for reinforced concrete sewer pipelines; IS 14333 for HDPE sewer pipelines),"Conveying raw sewage from a collection chamber to a Sewage Treatment Plant requires non-pressure gravity or pumping sewer mains. IS 458 specifies reinforced precast concrete pipes (NP2/NP3 class), while IS 783 provides the civil laying and hydrostatic testing code. HDPE pipes under IS 14333 represent the recognized plastic alternative.",Medium,data/standards/standards.xlsx / CED 53 (Concrete Pipes) & CED 50,IS 458:2021 Scope Clause 1; IS 783:1985 Scope Clause 1; IS 14333 Clause 1,QUEUED FOR MATERIAL VERIFICATION. Summary title does not state whether line is RCC or HDPE. Both IS 458 and IS 783 are present in our active standards repository.
T011,T011-R001,Providing and laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,material,1,,IS 7098 (Part 1) : 1988; IS 1255 : 1983,Crosslinked polyethylene insulated thermoplastic sheathed cables - Part 1: For working voltage up to and including 1100 V; Code of practice for installation and maintenance of power cables up to and including 33 kV rating,Active,"A. DIRECTLY_APPLICABLE (IS 7098 Part 1 for armored cable product; IS 1255 for underground trenching, sand bedding, warning tiles and laying)","The tender explicitly demands providing and laying underground cable for STP main supply. Armored XLPE cable conforming to IS 7098 (Part 1) is mandatory for direct underground burial to withstand soil moisture and mechanical stress. Trench depth, cable protection covers, and jointing follow IS 1255.",High,BIS Catalogue / ETD 9 (Power Cables) / Cables QCO,IS 7098 (Part 1) Clause 1; IS 1255 Section 6 (Underground Laying),Mandatory ISI Mark certification under Government of India Cables Quality Control Order.
T012,T012-R002,Plaster Repairing,installation_execution,1,,IS 1661 : 1972; IS 269 : 2015,Code of practice for application of cement and cement-lime plaster finishes; Ordinary Portland Cement - Specification,Active,A. DIRECTLY_APPLICABLE (IS 1661 for application and execution of plaster finishes; IS 269 for cement binder material),"Civil repair of damaged wall plaster in a storm water pump room requires cutting out cracked areas, preparing the masonry background, mixing mortar in specified ratios, and curing in accordance with IS 1661. The cement must conform to IS 269.",High,BIS Catalogue / data/standards/standards.xlsx / CED 4 & CED 2,IS 1661:1972 Scope Clause 1; IS 269:2015 Clause 1; CPWD Civil Specs Section 11,IS 269 is present in our active standards repository. CPWD civil specifications mandate strict adherence to IS 1661.
T012,T012-R003,Plumbing Fittings,product_equipment,1,,IS 1239 (Part 2) : 1992; IS 778 : 1984,"Mild Steel Tubulars and Other Wrought Steel Pipe Fittings - Part 2: Mild Steel Tubulars; Copper alloy gate, globe and check valves for water works purposes",Active,A. DIRECTLY_APPLICABLE (IS 1239 Part 2 for wrought steel fittings; IS 778 for brass/bronze plumbing valves),"Plumbing fittings in a storm water pump house connect suction and delivery piping to drainage sump pumps. Threaded pipe fittings (elbows, tees, unions, reducers) are governed by IS 1239 (Part 2), while isolation and non-return check valves are governed by IS 778.",High,BIS Catalogue / data/standards/standards.xlsx / CED 54 & CED 3,IS 1239 (Part 2) Clause 1 Scope; IS 778:1984 Clause 1,Summarized in the general water supply handbook SP 57 in our active repository.
T013,T013-R002,SITC of VFD water pump panel,product_equipment,1,,IS/IEC 61800-2 : 2015; IS/IEC 61439-2 : 2011,Adjustable speed electrical power drive systems - Part 2: General requirements - Rating specifications for low voltage adjustable frequency a.c. power drive systems; Low-voltage switchgear and controlgear assemblies - Part 2: Power switchgear and controlgear assemblies,Active,A. DIRECTLY_APPLICABLE (IS/IEC 61800-2 for variable frequency drive controller; IS/IEC 61439-2 for motor control center switchgear panel),"Supply, Installation, Testing, and Commissioning (SITC) of a Variable Frequency Drive pump control panel requires adherence to drive power electronics standards (IS/IEC 61800-2 for voltage ratings, overload capacity, harmonic limits) and low-voltage switchgear panel assembly standards (IS/IEC 61439-2 for busbars, short-circuit withstand, and thermal dissipation).",High,BIS Catalogue / ETD 22 (Power Electronics) & ETD 7 (Switchgear Assemblies),IS/IEC 61800-2 Clause 1 Scope; IS/IEC 61439-2 Clause 1 Scope,Hospital water distribution systems use VFD pump panels for automated constant pressure control.
T013,T013-R003,Insulation work,material,1,,IS 14164 : 2008; IS 8183 : 1993,Industrial application and finishing of thermal insulation materials at temperatures above -80 C and up to 700 C - Code of practice; Bonded mineral wool - Specification,Active,A. DIRECTLY_APPLICABLE (IS 14164 for thermal insulation execution and vapor barrier cladding; IS 8183 for preformed mineral wool insulation material),"Thermal insulation of hospital pumping equipment and chilled/hot water pipes prevents condensation, fungal growth, and thermal dissipation. IS 14164 is the primary national code of practice governing application, securing, vapor sealing, and cladding of pipe thermal insulation. IS 8183 specifies bonded mineral wool sections.",High,BIS Catalogue / MED 12 (Thermal Insulation Materials),IS 14164:2008 Clause 1 Scope; IS 8183:1993 Clause 1 Scope,Aluminum sheet cladding conforming to IS 737 is standard over mineral wool or closed-cell elastomeric foam in hospital mechanical plant rooms.
T014,T014-R002,commissioning of three numbers of Process Water Pump motors 3.3 kV,product_equipment,1,,IS/IEC 60034-1 : 2017; IS 5120 : 1977,Rotating electrical machines - Part 1: Rating and performance; Technical requirements for rotodynamic special purpose pumps,Active,A. DIRECTLY_APPLICABLE (IS/IEC 60034-1 for 3.3 kV medium-voltage induction motors; IS 5120 for rotodynamic process pumps),"Bhabha Atomic Research Centre (BARC) specifies 3.3 kV Process Water Pump motors for nuclear research facilities at Trombay. Medium-voltage heavy industrial electric motors are governed by IS/IEC 60034-1 (specifying rating, insulation temperature rise Class F, and duty cycle). Centrifugal process pump casings and hydraulics follow IS 5120.",High,BIS Catalogue / ETD 15 (Rotating Electrical Machines) & MED 20 (Pumps),IS/IEC 60034-1 Clause 1 Scope; IS 5120 Clause 1 Scope,Agricultural pump standard IS 9694 was evaluated and rejected because BARC specifies medium-voltage (3.3 kV) heavy industrial nuclear process cooling equipment.
T020,T020-R001,Repair/ maint of CPVC pipe in lieu of rusted GI pipe at Laitumkhrah Grn,material,1,,IS 15778 : 2007; IS 1239 (Part 1) : 2004,"Chlorinated Polyvinyl Chloride (CPVC) Pipes for Potable Hot and Cold Water Supplies - Specification; Steel Tubes, Tubulars and Other Wrought Steel Fittings - Part 1: Steel Tubes",Active,A. DIRECTLY_APPLICABLE (Dual-material specification: IS 15778 for newly installed CPVC pipes; IS 1239 Part 1 for replaced GI pipe interface),"The tender explicitly calls for replacing rusted Galvanized Iron (GI) water lines with Chlorinated Polyvinyl Chloride (CPVC) piping. IS 15778 is the mandatory national standard specifying dimensions, hydrostatic burst pressure, and water potability for CPVC plumbing. IS 1239 (Part 1) governs the legacy steel tubing being dismantled/replaced.",High,BIS Catalogue / CED 50 (Plastic Piping) / CPVC Pipes QCO 2023,IS 15778:2007 Scope Clause 1; Order S.O. 982(E),Mandatory ISI Mark certification under Government of India CPVC Pipes Quality Control Order 2023. UPVC standard IS 4985 was evaluated and rejected because CPVC was explicitly specified.
