requirement_id,requirement_text,proposed_standard,proposed_title,validation_result,validated_standard,validated_title,standard_status,standard_scope_match,applicability_reason,tender_evidence,authoritative_evidence,source_type,source_reference,qco_applicable,alternative_standards,missing_information,confidence,human_review_required
T007-R003,Low-Oil Food Outlet on BOT,IS 2491 : 2013,Food Hygiene - General Principles - Code of Practice (Second Revision),PARTIALLY_CORRECT,IS 2491 : 2013; FSSAI Schedule 4,Food Hygiene - General Principles - Code of Practice; FSSAI General Sanitary and Hygienic Requirements,Active,"Partial Match: IS 2491 covers food hygiene principles for catering premises, but commercial food outlets are legally governed by statutory FSSAI licensing.","Operating a food outlet on a campus requires compliance with national food hygiene guidelines (IS 2491), but primary legal compliance is statutory FSSAI licensing rather than mandatory BIS product marking.","eProcurement System Government of India7.pdf (IIT Ropar), Page 1 Work Description line 1.",BIS Catalogue / FAD 15 (Food Hygiene & Safety Management); Food Safety and Standards Act 2006.,BIS_CODE_OF_PRACTICE_AND_STATUTE,IS 2491:2013 Clause 1 Scope; FSSAI Schedule 4,False,IS 15000 : 2013 (HACCP Food Safety Systems); SP 18 (Rejected - laboratory testing manual),Policy decision on whether benchmark should evaluate against BIS hygiene (IS 2491) or flag FSSAI compliance,MEDIUM,TRUE
T009-R001,Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD,SP 30 : 2023,National Electrical Code of India 2023 (NEC 2023),CORRECT,SP 30 : 2023; IS 732 : 2019,National Electrical Code of India 2023; Code of practice for electrical wiring installations,Active,"Exact Match: SP 30 Section 3 specifically establishes national guidelines for electrical installation, inspection, and maintenance in storage and warehousing facilities (FSD).",Comprehensive electrical and mechanical maintenance of grain storage depots (FSD) must follow the National Electrical Code of India (SP 30 Section 3: Storage and Warehousing Facilities).,"eProcurement System Government of India9.pdf (ESIC), Page 1 Work Description line 1.",Local reference dataset data/standards/standards.xlsx; BIS ETD 20 (Electrical Installations).,LOCAL_STANDARDS_REPO_AND_BIS,SP 30:2023 Part 1 & Part 3; IS 732 Clause 6,False,IS 732 : 2019 (Code of practice for electrical wiring installations - inspection and testing),Grain dust hazardous area classification (IS/IEC 60079) for conveyor motors,HIGH,FALSE
T010-R001,Sewerage Pipeline works from Collection Chamber to STP 9/4/26,IS 458 : 2021,Precast Concrete Pipes (with and without Reinforcement) - Specification (Fifth Revision),PARTIALLY_CORRECT,IS 458 : 2021; IS 783 : 1985; IS 14333 : 1996,Precast Concrete Pipes; Laying Concrete Pipes; HDPE Pipes for Sewerage,Active,"Partial Match: IS 458 applies if reinforced concrete pipes are chosen, but the tender notice does not declare pipe material (RCC vs HDPE).","External gravity sewer networks conventionally use precast reinforced concrete pipes (IS 458) laid per IS 783, but modern campuses also use HDPE pipes (IS 14333).","eProcurement System Government of India10.pdf (IIT Tirupati), Page 1 Work Description line 1.",data/standards/standards.xlsx; BIS CED 53; CPWD Civil Specifications Chapter 19.,LOCAL_STANDARDS_REPO_AND_CPWD,IS 458:2021 Scope Clause 1; IS 783:1985; IS 14333:1996,True (for Precast Concrete Pipes QCO),IS 14333 : 1996 (HDPE pipes for sewerage); IS 15328 : 2003 (UPVC sewer pipes),Pipe material (RCC Class NP2/NP3 vs HDPE) and nominal pipe diameter from BOQ schedule,MEDIUM,TRUE
T011-R001,Providing and laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,IS 7098 (Part 1) : 1988,Crosslinked Polyethylene Insulated Thermoplastic Sheathed Cables - Part 1: For Working Voltage Up to and Including 1100 V,PARTIALLY_CORRECT,IS 7098 (Part 1) : 1988; IS 1255 : 1983,Crosslinked Polyethylene Insulated Cables - Part 1: Up to 1100 V; Code of Practice for Installation of Power Cables,Active,"Partial Match: Proposed standard covers the physical cable, but the tender explicitly mandates Providing and Laying underground cable, which requires laying code IS 1255.",The requirement specifies providing (cable manufacturing product) and laying underground power cable for STP. Complete coverage requires both IS 7098 Part 1 and IS 1255.,"eProcurement System Government of India11.pdf (BSF Bangalore), Page 1 Work Description line 1.",BIS Catalogue / ETD 9; Ministry of Commerce Cables QCO 2023.,GOVERNMENT_GAZETTE_QCO_AND_BIS,IS 7098 (Part 1):1988 Clause 1; IS 1255 Section 6,True (for physical cable under Cables QCO),IS 1554 (Part 1) : 1988 (PVC cables); IS 694 (Rejected - light domestic wire),Cable cross-section (e.g. 3.5C x 70 sq mm) and conductor material from BOQ,HIGH,FALSE
T012-R002,Plaster Repairing,IS 1661 : 1972,Code of Practice for Application of Cement and Cement-Lime Plaster Finishes,CORRECT,IS 1661 : 1972,Code of Practice for Application of Cement and Cement-Lime Plaster Finishes,Active,"Exact Match: IS 1661 is the national standard governing execution, surface preparation, mortar mix proportions, and curing of cement plastering repairs.","Civil repair of deteriorated wall plaster in a building requires proper surface hacking, mortar proportioning (1:3, 1:4), multi-coat application, and water curing per IS 1661.","eProcurement System Government of India12.pdf (CPWD), Page 1 Work Description line 1.",BIS Catalogue / CED 4 (Building Construction Practices); CPWD Civil Specifications Section 11.,BIS_CATALOGUE_AND_CPWD_SPEC,IS 1661:1972 Clause 1 Scope; CPWD Section 11,False,IS 269 : 2015 (Ordinary Portland Cement material standard in standards.xlsx); IS 1542 (Sand),Mortar ratio (1:4 vs 1:6) and plaster thickness from BOQ,HIGH,FALSE
T012-R003,Plumbing Fittings,IS 1239 (Part 2) : 1992,"Mild Steel Tubes, Tubulars and Other Wrought Steel Fittings - Part 2: Mild Steel Tubulars and Other Wrought Steel Pipe Fittings",CORRECT,IS 1239 (Part 2) : 1992,"Mild Steel Tubes, Tubulars and Other Wrought Steel Fittings - Part 2: Mild Steel Tubulars and Other Wrought Steel Pipe Fittings",Active,Exact Match: Plumbing pipework in municipal pump houses utilizes threaded galvanized malleable iron or wrought steel fittings governed by IS 1239 (Part 2).,"Plumbing fittings in a storm water pump room encompass threaded steel/wrought pipe fittings (tees, elbows, unions) specified under IS 1239 Part 2.","eProcurement System Government of India12.pdf (CPWD), Page 1 Work Description line 2.",BIS Catalogue / CED 54 (Steel Tubes); data/standards/standards.xlsx (SP 57 QAWSM Handbook on Pipes & Fittings).,LOCAL_STANDARDS_REPO_AND_BIS,IS 1239 (Part 2):1992 Clause 1; SP 57:1993,False,IS 778 : 1984 (Copper alloy valves for plumbing control); IS 1879 : 2010 (Malleable iron fittings),Nominal diameter and fitting schedule from BOQ,HIGH,FALSE
T013-R002,SITC of VFD water pump panel,IS/IEC 61800-2 : 2015,Adjustable Speed Electrical Power Drive Systems - Part 2: General Requirements - Rating Specifications for Low Voltage Adjustable Speed AC Power Drive Systems,PARTIALLY_CORRECT,IS/IEC 61800-2 : 2015; IS/IEC 61439-2 : 2011,Adjustable speed AC power drive systems; Low-voltage switchgear and controlgear assemblies - Part 2: Power switchgear assemblies,Active,"Partial Match: Proposed standard covers the VFD drive controller, but the panel enclosure and switchgear assembly are governed by IS/IEC 61439-2.",SITC of a Variable Frequency Drive pump control panel requires adherence to drive equipment standards (IS/IEC 61800-2) and switchgear panel assembly standards (IS/IEC 61439-2).,"eProcurement System Government of India13.pdf (AIIMS), Page 1 Work Description line 1.",BIS Catalogue / ETD 22 & ETD 7; CPWD Electrical Specifications 2023.,BIS_CATALOGUE_AND_CPWD_SPEC,IS/IEC 61800-2 Clause 1; IS/IEC 61439-2 Clause 1,False,IS/IEC 60947-4-1 : 2018 (Motor starters); IS 13947 (Withdrawn/superseded),Total pump motor kW rating and THD harmonic filter limits from technical schedule,HIGH,FALSE
T013-R003,Insulation work,IS 14164 : 2008,Industrial Application and Finishing of Thermal Insulation Materials at Temperatures Above -40 deg C and Up to 700 deg C - Code of Practice (First Revision),CORRECT,IS 14164 : 2008,Industrial Application and Finishing of Thermal Insulation Materials at Temperatures Above -40 deg C and Up to 700 deg C - Code of Practice (First Revision),Active,"Exact Match: IS 14164 is the primary national code of practice governing application, securing, vapor sealing, and protective cladding of pipe thermal insulation.",Insulation of hospital pump room piping prevents condensation on chilled lines and heat loss on hot water lines. IS 14164 is the definitive national code of practice.,"eProcurement System Government of India13.pdf (AIIMS), Page 1 Work Description line 2.",BIS Catalogue / MED 12 (Thermal Insulation); CPWD HVAC & Plumbing Specifications.,BIS_CATALOGUE_AND_CPWD_SPEC,IS 14164:2008 Scope Clause 1,False,IS 8183 : 1993 (Bonded mineral wool); IS 12436 (Polyurethane); IS 737 (Aluminium cladding),Insulation material type (mineral wool vs elastomeric nitrile rubber) from BOQ,HIGH,FALSE
T014-R002,commissioning of three numbers of Process Water Pump motors 3.3 kV,IS/IEC 60034-1 : 2017,Rotating Electrical Machines - Part 1: Rating and Performance,CORRECT,IS/IEC 60034-1 : 2017,Rotating Electrical Machines - Part 1: Rating and Performance,Active,"Exact Match: IS/IEC 60034-1 is the authoritative Indian Standard governing rating, temperature rise limits, dielectric tests, and performance of 3.3 kV rotating electric motors.",BARC specifies commissioning of 3 numbers of 3.3 kV medium-voltage motors for process cooling water. Rotating AC machines follow IS/IEC 60034-1.,"eProcurement System Government of India14.pdf (BARC), Page 1 Work Description line 1.",BIS Catalogue / ETD 15 (Rotating Machinery); Central Electricity Authority Technical Standards.,BIS_CATALOGUE_AND_REGULATORY_STATUTE,IS/IEC 60034-1:2017 Clause 1 Scope,False,IS 5120 : 1977 (Rotodynamic special purpose pumps); IS 9694 (Agricultural pumps - rejected as false positive),Motor power rating (kW) and hazardous area classification if located in classified chemical process zones,HIGH,FALSE
T020-R001,Repair/ maint of CPVC pipe in lieu of rusted GI pipe at Laitumkhrah Grn,IS 15778 : 2007,Chlorinated Polyvinyl Chloride (CPVC) Pipes for Potable Hot and Cold Water Supplies - Specification,CORRECT,IS 15778 : 2007,Chlorinated Polyvinyl Chloride (CPVC) Pipes for Potable Hot and Cold Water Supplies - Specification,Active,Exact Match: IS 15778 covers chlorinated polyvinyl chloride (CPVC) pipes for potable water supplies under pressure.,The tender explicitly calls for replacing rusted GI water pipes with CPVC water pipelines. IS 15778 is the mandatory product specification for the newly procured CPVC pipes under Central QCO. IS 1239 Part 1 governs steel tubes and does NOT apply to the replacement plastic pipe itself.,"eProcurement System Government of India.pdf (Assam Rifles), Page 1 Title and Scope of Work: Repair/ maint of CPVC pipe in lieu of rusted GI pipe at Laitumkhrah Grn.",Ministry of Chemicals & Fertilizers / DPIIT Chlorinated Polyvinyl Chloride (CPVC) Pipes and Fittings (Quality Control) Order 2023 (Order S.O. 982(E)); BIS CED 50.,GOVERNMENT_GAZETTE_QCO,IS 15778:2007 Clause 1 Scope; Order S.O. 982(E),True,IS 7634 (Part 3) : 2003 (Laying and jointing of CPVC pipes); IS 1239 (Part 1) : 2004 (Existing GI pipe interface); IS 4985 (UPVC - rejected),SDR class (SDR 11 vs SDR 13.5) and nominal pipe sizes in BOQ_971906.xls,HIGH,FALSE
