requirement_id,requirement_text,candidate_standard,standard_title,standard_status,applicability_reason,evidence,evidence_source,confidence,alternative_standards,verification_needed
T007-R003,Low-Oil Food Outlet on BOT,IS 2491 : 2013,Food Hygiene - General Principles - Code of Practice (Second Revision),Active,"Operating a food outlet on a university campus requires strict adherence to national food hygiene principles (premises layout, sanitation, food handling, pest management).","Clause 1 Scope of IS 2491:2013 sets down general hygiene rules for premises design, food preparation, cleaning, and personal hygiene in catering establishments.",BIS Catalogue / FAD 15 (Food Hygiene & Safety Management).,Medium,IS 15000 : 2013 (HACCP Food Safety Systems); FSSAI Schedule 4 (Statutory Sanitary & Hygiene Requirements).,MANUAL BIS / EXPERT VERIFICATION REQUIRED. Reviewer must decide whether evaluation scores against BIS hygiene code (IS 2491) or FSSAI regulatory compliance.
T009-R001,Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD,SP 30 : 2023,National Electrical Code of India 2023 (NEC 2023),Active,Comprehensive electrical and mechanical maintenance of grain storage depots (FSD) must follow the National Electrical Code of India (SP 30 Section 3: Storage and Warehousing Facilities).,"SP 30:2023 Part 1 & Part 3 provide comprehensive guidelines for testing, preventive maintenance, inspection, and safety verification of electrical equipment in storage facilities.",data/standards/standards.xlsx / ETD 20 (Electrical Installations).,High,IS 732 : 2019 (Code of practice for electrical wiring installations - inspection and testing); IS 2524 (Painting maintenance).,Confirm whether grain dust hazardous area classification (IS/IEC 60079 series) applies to mechanical conveyors.
T010-R001,Sewerage Pipeline works from Collection Chamber to STP 9/4/26,IS 458 : 2021,Precast Concrete Pipes (with and without Reinforcement) - Specification (Fifth Revision),Active,External gravity sewer networks connecting collection chambers to STPs in institutional campuses conventionally use precast reinforced concrete pipes (Class NP2/NP3 under IS 458).,Scope Clause 1 of IS 458:2021 covers precast concrete pipes for drainage and sewerage; Precast Concrete Pipes QCO mandates ISI marking.,data/standards/standards.xlsx / CED 53 (Pipes and Fittings); CPWD Civil Specifications Chapter 19.,Medium,IS 783 : 1985 (Code of practice for laying concrete pipes); IS 14333 : 1996 (HDPE pipes for sewerage).,MANUAL BIS / EXPERT VERIFICATION REQUIRED. Notice summary does not state pipe material in title. Human reviewer must verify tender schedule to confirm RCC (IS 458) vs HDPE (IS 14333).
T011-R001,Providing and laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,IS 7098 (Part 1) : 1988,Crosslinked Polyethylene Insulated Thermoplastic Sheathed Cables - Part 1: For Working Voltage Up to and Including 1100 V,Active,The requirement specifies providing (cable manufacturing product) and laying underground power cable for STP. Armoured XLPE LT power cable conforms to IS 7098 Part 1.,"Clause 1 Scope of IS 7098 (Part 1) for armoured LT power cables; IS 1255 Section 6 for underground trenching, sand cushioning, and warning tiles.",BIS Catalogue / ETD 9 (Power Cables); Ministry of Commerce Cables QCO.,High,IS 1255 : 1983 (Code of practice for installation and maintenance of power cables); IS 1554 (Part 1) : 1988 (PVC cables).,Confirm cable cross-section (e.g. 3.5C x 70 sq mm) and aluminium/copper conductor from BOQ.
T012-R002,Plaster Repairing,IS 1661 : 1972,Code of Practice for Application of Cement and Cement-Lime Plaster Finishes,Active,"IS 1661 is the definitive national standard governing execution, surface preparation, mortar mix proportions (1:3, 1:4), application thickness, and curing of cement plastering repairs.",Clause 1 Scope of IS 1661:1972 covers application of internal and external plaster finishes on masonry and concrete backings.,BIS Catalogue / CED 4 (Building Construction Practices); CPWD Civil Specifications Section 11.,High,IS 269 : 2015 (Ordinary Portland Cement material standard in standards.xlsx); IS 1542 : 1992 (Sand for plaster).,Confirm mortar ratio (1:4 or 1:6) and thickness (12 mm or 15 mm) from bill of quantities.
T012-R003,Plumbing Fittings,IS 1239 (Part 2) : 1992,"Mild Steel Tubes, Tubulars and Other Wrought Steel Fittings - Part 2: Mild Steel Tubulars and Other Wrought Steel Pipe Fittings",Active,Plumbing pipework in municipal pump houses utilizes threaded galvanized malleable iron or wrought steel fittings governed by IS 1239 (Part 2).,"Clause 1 Scope of IS 1239 (Part 2):1992 specifies threaded malleable iron and steel elbows, tees, crosses, bends, nipples, and unions.",BIS Catalogue / CED 54 (Steel Tubes); data/standards/standards.xlsx (SP 57 QAWSM Handbook on Pipes & Fittings).,High,IS 778 : 1984 (Copper alloy gate/globe/check valves for plumbing); IS 1879 : 2010 (Malleable cast iron pipe fittings).,Confirm nominal diameter and material (galvanized steel vs brass) from schedule.
T013-R002,SITC of VFD water pump panel,IS/IEC 61800-2 : 2015,Adjustable Speed Electrical Power Drive Systems - Part 2: General Requirements - Rating Specifications for Low Voltage Adjustable Speed AC Power Drive Systems,Active,"Core functional technology being procured is the Variable Frequency Drive (VFD) system. IS/IEC 61800-2 specifies ratings, harmonic distortion limits, and operating conditions for low-voltage AC drives.","Clause 1 Scope of IS/IEC 61800-2 covers converters, inverters, and drive control electronics for low-voltage motors.",BIS Catalogue / ETD 22 (Power Electronics); CPWD Electrical Specifications 2023.,High,IS/IEC 61439-2 : 2011 (Low-voltage power switchgear panel enclosure assemblies); IS/IEC 60947-4-1 : 2018 (Motor starters).,Confirm total motor kW rating and THD filtering requirements from tender technical schedule.
T013-R003,Insulation work,IS 14164 : 2008,Industrial Application and Finishing of Thermal Insulation Materials at Temperatures Above -40 deg C and Up to 700 deg C - Code of Practice (First Revision),Active,"IS 14164 is the primary national code of practice governing mechanical fixing, strapping, vapor barrier sealing, and protective cladding of thermal insulation on pipes, pumps, and vessels.",Scope Clause 1 of IS 14164:2008 specifies methods for securing insulation and applying finishes to industrial and building equipment.,BIS Catalogue / MED 12 (Thermal Insulation); CPWD HVAC & Plumbing Specifications.,High,IS 8183 : 1993 (Bonded mineral wool for thermal insulation); IS 12436 : 1988 (Preformed rigid polyurethane insulation); IS 737 (Aluminium cladding).,Confirm insulation material type (bonded mineral wool vs elastomeric nitrile rubber) from tender BOQ.
T014-R002,commissioning of three numbers of Process Water Pump motors 3.3 kV,IS/IEC 60034-1 : 2017,Rotating Electrical Machines - Part 1: Rating and Performance,Active,"Commissioning 3.3 kV medium-voltage industrial rotating electric motors. IS/IEC 60034-1 is the authoritative standard governing rating, temperature rise limits, dielectric tests, and performance of medium-voltage rotating machines.",Clause 1 Scope of IS/IEC 60034-1:2017 covers all rotating electrical machines without voltage limit; Clause 8 specifies insulation withstand and high voltage testing.,BIS Catalogue / ETD 15 (Rotating Machinery); Central Electricity Authority Technical Standards.,High,IS 5120 : 1977 (Technical requirements for rotodynamic special purpose pumps); IS 9694 (Agricultural pumps - rejected as false positive).,Confirm motor power rating (kW) and hazardous area classification if located in classified chemical process zones.
T020-R001,Repair/ maint of CPVC pipe in lieu of rusted GI pipe at Laitumkhrah Grn,IS 15778 : 2007,Chlorinated Polyvinyl Chloride (CPVC) Pipes for Potable Hot and Cold Water Supplies - Specification,Active,"SPECIAL RULE EVALUATION: IS 15778 applies directly to the replacement CPVC pipe because it specifies dimensions (SDR 11/13.5), hydrostatic burst pressure, and water potability for CPVC plumbing under mandatory Central QCO. IS 1239 (Part 1) does NOT apply to the replacement pipe because it governs mild steel tubes with completely different material properties; IS 1239 only provides secondary interface context for the existing rusted GI piping being replaced.",Clause 1 Scope of IS 15778:2007 covers CPVC pipes for domestic hot and cold water distribution; Order S.O. 982(E) mandates ISI Mark certification for CPVC pipes.,BIS Catalogue / CED 50 (Plastic Piping); Gazette of India CPVC Pipes QCO 2023; Assam Rifles Tender Notice ENG/III-235/2026-27/75.,High,IS 7634 (Part 3) : 2003 (Laying and jointing of CPVC pipes); IS 1239 (Part 1) : 2004 (Existing GI pipe interface); IS 4985 (UPVC pipes - rejected because CPVC was explicitly mandated).,Confirm SDR class (SDR 11 vs SDR 13.5) and pipe nominal diameter from BOQ_971906.xls.
