requirement_id,candidate_standard,standard_title,why_candidate,applicability,evidence_source,evidence_reference,selected_as_ground_truth
T002-R002,IS 13095 : 2020,Butterfly valves for general purposes - Specification (First Revision),Modern industrial process isolation valve,AMBIGUOUS_NEEDS_BOQ,BIS Catalogue / MED 3,Notice summary lacks line media/temperature specification,FALSE
T002-R003,IS 6392 : 1971,Steel Pipe Flanges,"Standard for dimensions, tolerances and ratings of industrial steel pipe flanges",APPLICABLE_PRIMARY,BIS Catalogue / MED 17,IS 6392:1971 Scope Clause 1 (covers steel flanges for process pipework),TRUE
T002-R003,IS 2712 : 2020,Compressed Asbestos/Non-Asbestos Fiber Jointing Sheets - Specification,Gaskets used in maintenance of industrial flanged joints,APPLICABLE_SECONDARY,BIS Catalogue / MED 17,IS 2712 specifies gasket material for flanged joint sealing,TRUE
T003-R001,IS/IEC 61439-3 : 2012,Low-voltage switchgear and controlgear assemblies - Part 3: Distribution boards intended to be operated by ordinary persons (DBO),Primary national standard for distribution boards in institutional buildings and sports facilities,APPLICABLE_PRIMARY,BIS Catalogue / ETD 7,IS/IEC 61439-3 Scope Clause 1,TRUE
T003-R001,IS 10322 (Part 5 / Sec 5) : 2013,Luminaires - Part 5 Particular Requirements - Section 5 Floodlights,Governs floodlighting and stadium luminaires,APPLICABLE_SECONDARY,BIS Catalogue / ETD 24,IS 10322 (Part 5/Sec 5) Scope Clause 1,TRUE
T003-R001,IS 8623 (Part 3) : 1993,Low-voltage switchgear and controlgear assemblies - Part 3: Particular requirements for equipment intended in places accessible to unskilled persons,Older distribution board specification,REJECTED_SUPERSEDED,BIS Catalogue,Superseded by IS/IEC 61439-3,FALSE
T004-R002,IS 7098 (Part 1) : 1988,Crosslinked polyethylene insulated thermoplastic sheathed cables - Part 1: For working voltage up to and including 1100 V,Industry standard XLPE insulated power cables for generator AMF and substation connections,APPLICABLE_PRIMARY,BIS Catalogue / ETD 9 / Cables QCO,IS 7098 (Part 1) Clause 1 (voltage rating up to 1.1 kV),TRUE
T004-R002,IS 1255 : 1983,Code of practice for installation and maintenance of power cables up to and including 33 kV rating (Second Revision),Standard code of practice for laying and terminating building power cables,APPLICABLE_SECONDARY,BIS Catalogue / ETD 9,IS 1255:1983 Scope Clause 1,TRUE
T004-R002,IS 694 : 2010,Polyvinyl chloride insulated unsheathed-and sheathed cables/cords with rigid and flexible conductor for rated voltages up to and including 450/750 V,General wiring cable,REJECTED_LIGHT_DUTY,BIS Catalogue / ETD 9,"IS 694 covers building branch circuit wiring, not heavy AMF feeder power cables",FALSE
T004-R005,IS 5039 : 1983,Distribution pillars for voltages not exceeding 1000 V AC and 1200 V DC - Specification (First Revision),Specific national product standard for outdoor and indoor electrical distribution feeder pillars,APPLICABLE_PRIMARY,BIS Catalogue / ETD 7,IS 5039:1983 Scope Clause 1,TRUE
T004-R005,IS/IEC 61439-5 : 2014,Low-voltage switchgear and controlgear assemblies - Part 5: Assemblies for power distribution in public networks,Harmonized standard for network substation pillars,APPLICABLE_SECONDARY,BIS Catalogue / ETD 7,IS/IEC 61439-5 Clause 1,TRUE
T005-R001,IS 3043 : 2018,Code of practice for earthing (Second Revision),Mandatory safety code for DG set neutral and body earthing installations in buildings,APPLICABLE_PRIMARY,BIS Catalogue / ETD 20 / National Electrical Code,IS 3043:2018 Clause 28 (Earthing of generating plants),TRUE
T005-R001,IS 7098 (Part 1) : 1988,Crosslinked polyethylene insulated thermoplastic sheathed cables - Part 1: For working voltage up to and including 1100 V,Power cable connecting DG alternator to building LT changeover panel,APPLICABLE_SECONDARY,BIS Catalogue / ETD 9,IS 7098 (Part 1) Clause 1,TRUE
T005-R001,IS 1293 : 2019,Plugs and socket-outlets of rated voltage up to and including 250 volts and rated current up to and including 16 amperes - Specification,Power sockets replaced under same tender scope in algal culture room,APPLICABLE_SECONDARY,BIS Catalogue / ETD 14 / Plugs QCO,IS 1293:2019 Scope Clause 1,TRUE
T006-R001,IS 16088 : 2016,Unplasticized Polyvinyl Chloride (uPVC) Profiles for the Fabrication of Windows and Doors - Specification,Governs unplasticized PVC hollow multi-chamber profiles used in prefabricated cleanroom/lab partition frames,APPLICABLE_PRIMARY,BIS Catalogue / CED 29,IS 16088:2016 Scope Clause 1,TRUE
T006-R001,IS 12823 : 2015,Prelaminated particle boards - Specification,Board infill panels,REJECTED_DIFFERENT_MATERIAL,BIS Catalogue,Particle board is unsuitable for wet marine seafood/microbiology laboratory partitions,FALSE
T007-R003,IS 2491 : 2013,Food Hygiene - General Principles - Code of Practice (Second Revision),"Authoritative Indian Standard for sanitary hygiene, kitchen layout, and handling in food catering outlets",APPLICABLE_PRIMARY,BIS Catalogue / FAD 15,"IS 2491:2013 Scope Clause 1 (covers food establishment design, facilities and hygiene)",TRUE
T007-R003,SP 18 : Part 1 : 1980,ISI Handbook of Food Analysis - Part I : General Methods,Food analysis handbook from data/standards/standards.xlsx,REJECTED_DIFFERENT_DOMAIN,data/standards/standards.xlsx,"SP 18 covers laboratory analytical chemistry test methods, not catering business operation",FALSE
T009-R001,SP 30 : 2023,National Electrical Code Of India 2023,"Governs safety, inspection and maintenance of electrical installations in commercial and storage premises",APPLICABLE_PRIMARY,data/standards/standards.xlsx / ETD 20,SP 30:2023 Part 1 & Part 3 (Warehouses and Storage Facilities),TRUE
T009-R001,IS 732 : 2019,Code of practice for electrical wiring installations (Fourth Revision),"Periodic inspection, testing and maintenance of electrical wiring systems",APPLICABLE_SECONDARY,BIS Catalogue / ETD 20,IS 732:2019 Clause 6 (Verification and periodic inspection),TRUE
T010-R001,IS 458 : 2021,Precast Concrete Pipes (with and without Reinforcement) - Specification (Fifth Revision),Primary non-pressure and pressure pipeline material for sewage collection and STP delivery,APPLICABLE_PRIMARY,data/standards/standards.xlsx / CED 53,IS 458:2021 Scope Clause 1,TRUE
T010-R001,IS 783 : 1985,Code of Practice for Laying of Concrete Pipes (First Revision),"Civil engineering code of practice for laying, jointing and testing concrete sewerage pipes",APPLICABLE_SECONDARY,data/standards/standards.xlsx / CED 53,IS 783:1985 Scope Clause 1,TRUE
T010-R001,IS 14333 : 1996,High density polyethylene pipes for sewerage - Specification,Modern alternative plastic piping material for sewage pumping mains,APPLICABLE_SECONDARY,BIS Catalogue / CED 50,IS 14333:1996 Scope Clause 1,TRUE
T011-R001,IS 7098 (Part 1) : 1988,Crosslinked polyethylene insulated thermoplastic sheathed cables - Part 1: For working voltage up to and including 1100 V,Standard underground armoured cable material for sewage treatment plant power feeds,APPLICABLE_PRIMARY,BIS Catalogue / ETD 9 / Cables QCO,IS 7098 (Part 1) Clause 1,TRUE
T011-R001,IS 1255 : 1983,Code of practice for installation and maintenance of power cables up to and including 33 kV rating (Second Revision),"Governs trench depth, sand cushion, protective cable covers/tiles and route markers for underground laying",APPLICABLE_SECONDARY,BIS Catalogue / ETD 9,IS 1255:1983 Section 6 (Installation),TRUE
T012-R002,IS 1661 : 1972,Code of practice for application of cement and cement-lime plaster finishes (First Revision),"National code of practice for surface preparation, mortar proportions and application of cement plaster",APPLICABLE_PRIMARY,BIS Catalogue / CED 4,IS 1661:1972 Scope Clause 1,TRUE
T012-R002,IS 269 : 2015,Ordinary Portland Cement - Specification (Sixth Revision),Standard binder for repair plaster mortar,APPLICABLE_SECONDARY,data/standards/standards.xlsx / CED 2,IS 269:2015 Scope Clause 1,TRUE
T012-R003,IS 1239 (Part 2) : 1992,"Steel Tubes, Tubulars and Other Wrought Steel Fittings - Part 2: Mild Steel Tubulars and Other Wrought Steel Pipe Fittings (Fourth Revision)","Mild steel threaded fittings (bends, elbows, tees, unions) for water pump house plumbing",APPLICABLE_PRIMARY,BIS Catalogue / CED 54,IS 1239 (Part 2) Clause 1,TRUE
T012-R003,IS 778 : 1984,"Copper alloy gate, globe and check valves for water works purposes (Fourth Revision)",Isolation and non-return valves in pump house water plumbing,APPLICABLE_SECONDARY,BIS Catalogue / CED 3,IS 778:1984 Clause 1,TRUE
T013-R002,IS/IEC 61800-2 : 2015,Adjustable speed electrical power drive systems - Part 2: General requirements - Rating specifications for low voltage adjustable frequency a.c. power drive systems,"Primary national standard specifying rating, performance and harmonics of AC variable frequency drives",APPLICABLE_PRIMARY,BIS Catalogue / ETD 22,IS/IEC 61800-2 Scope Clause 1,TRUE
T013-R002,IS/IEC 61439-2 : 2011,Low-voltage switchgear and controlgear assemblies - Part 2: Power switchgear and controlgear assemblies,"Governs physical panel housing, busbars, switchgear and heat dissipation of motor control panels",APPLICABLE_SECONDARY,BIS Catalogue / ETD 7,IS/IEC 61439-2 Scope Clause 1,TRUE
T013-R003,IS 14164 : 2008,Industrial application and finishing of thermal insulation materials at temperatures above -80 C and up to 700 C - Code of practice (First Revision),Comprehensive national code of practice for application and cladding of pipe and pump thermal insulation,APPLICABLE_PRIMARY,BIS Catalogue / MED 12,IS 14164:2008 Clause 1,TRUE
T013-R003,IS 8183 : 1993,Bonded mineral wool - Specification (First Revision),Common preformed pipe section insulation material,APPLICABLE_SECONDARY,BIS Catalogue / MED 12,IS 8183:1993 Clause 1,TRUE
T014-R002,IS/IEC 60034-1 : 2017,Rotating electrical machines - Part 1: Rating and performance,"National standard governing rating, temperature rise, and performance of medium voltage (3.3 kV) induction motors",APPLICABLE_PRIMARY,BIS Catalogue / ETD 15,IS/IEC 60034-1 Scope Clause 1 (covers all rotating electrical machines without voltage limit),TRUE
T014-R002,IS 5120 : 1977,Technical requirements for rotodynamic special purpose pumps,Technical requirements for industrial process water rotodynamic pumps,APPLICABLE_SECONDARY,BIS Catalogue / MED 20,IS 5120:1977 Scope Clause 1,TRUE
T014-R002,IS 9694 : Part 1 : 2023,"Selection, Installation, Operation And Maintenance Of Horizontal Centrifugal Pumps For Agriculture Application - Code Of Practice - Part 1 Selection",Pump standard from data/standards/standards.xlsx,REJECTED_DIFFERENT_DOMAIN,data/standards/standards.xlsx,"IS 9694 is restricted to low-voltage agricultural pumps, not 3.3kV nuclear process water pumps",FALSE
T020-R001,IS 15778 : 2007,Chlorinated Polyvinyl Chloride (CPVC) Pipes for Potable Hot and Cold Water Supplies - Specification,Direct product standard for CPVC pipes for water supply; mandatory ISI Mark under CPVC Pipes QCO,APPLICABLE_PRIMARY,BIS Catalogue / CED 50 / CPVC Pipes QCO 2023,IS 15778:2007 Scope Clause 1,TRUE
T020-R001,IS 1239 (Part 1) : 2004,"Steel Tubes, Tubulars and Other Wrought Steel Fittings - Part 1: Steel Tubes",Direct product standard for the rusted Galvanized Iron (GI) water tubes being replaced,APPLICABLE_SECONDARY,data/standards/standards.xlsx / CED 54,IS 1239 (Part 1) Clause 1,TRUE
T020-R001,IS 4985 : 2021,Unplasticized Polyvinyl Chloride (uPVC) Pipes for Potable Water Supplies - Specification,Common plastic water pipe,REJECTED_DIFFERENT_MATERIAL,BIS Catalogue / CED 50,"Tender explicitly mandates CPVC, not UPVC",FALSE
