tender_id,requirement_id,requirement_text,primary_standard,decision,dependencies_count,dependency_standards,verified_missing,potentially_missing,related_for_review,human_review_required
T003,T003-R002,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elesewh,IS 10322 (Part 5 / Sec 5) : 2013,RECOMMEND_WITH_REVIEW,1,IS 8623,,,IS 8623,False
T003,T003-R003,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elsewhe,IS 10322 (Part 5 / Sec 5) : 2013,RECOMMEND_WITH_REVIEW,1,IS 8623,,,IS 8623,False
T003,T003-R004,Contractdocument,NONE_ABSTAINED,NO_RELIABLE_MATCH,0,,,,,True
T004,T004-R001,"Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, inte",IS 5039 : 1983,REVIEW_REQUIRED,0,,,,,True
T004,T004-R002,power cables from outside of electrical room to AMF room,IS 7098 (Part 1) : 1988,REVIEW_REQUIRED,0,,,,,True
T004,T004-R003,"Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, inte",IS 5039 : 1983,REVIEW_REQUIRED,0,,,,,True
T004,T004-R004,"electrical maintenance work at common coridoor, toilets, replacement of faulty 2x2 celing light of seminar and multipurp",IS 732 : 2019,RECOMMEND_WITH_REVIEW,1,IS 14333 : 2022,,,IS 14333 : 2022,False
T004,T004-R005,"Dismantling,Shifting and reinstallation of feeder pillar, power",IS 5039 : 1983,RECOMMEND,0,,,,,False
T004,T004-R006,replacement of faulty 2x2 celing light of seminar and,IS 10322 (Part 5 / Sec 5) : 2013,INSUFFICIENT_EVIDENCE,1,IS 8623,,,IS 8623,True
T005,T005-R001,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics and Electrical renov",IS 3043 : 2018,REVIEW_REQUIRED,0,,,,,True
T005,T005-R002,Cable connection of DG Set in Newly constructed building of the Dept. of Molecular,IS 3043 : 2018,REVIEW_REQUIRED,0,,,,,True
T005,T005-R003,"renovation work including replacement of old Power Sockets in Algal Culture Room, Old Building in Department of Botany,",SP 62 : 1997,RECOMMEND,0,,,,,False
T005,T005-R004,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics and Electrical",IS 3043 : 2018,REVIEW_REQUIRED,0,,,,,True
T006,T006-R001,UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory a,IS 16088 : 2016,RECOMMEND,0,,,,,False
T006,T006-R002,UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory a,IS 16088 : 2016,RECOMMEND,0,,,,,False
T006,T006-R003,UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory,IS 16088 : 2016,RECOMMEND,0,,,,,False
T006,T006-R004,Notice Inviting Tender,IS 14333 : 1996,RECOMMEND,7,IS 4984 : 2016; IS 2530 : 1963; IS 4905 : 2015; IS 7328 : 2020; IS 12235 (Part 18) : 2004; IS 16268 : 2017; IS 7634 (Part 2) : 2012,,IS 7634 (Part 2) : 2012,IS 4984 : 2016; IS 2530 : 1963; IS 4905 : 2015; IS 7328 : 2020; IS 12235 (Part 18) : 2004; IS 16268 : 2017,False
T006,T006-R005,Bill of Quantity,NONE_ABSTAINED,NO_RELIABLE_MATCH,0,,,,,True
T007,T007-R001,Tender for Opening of Himalayan Low-Oil Food Outlet on BOT basis at IIT Ropar,IS 2491 : 2013,REVIEW_REQUIRED,1,IS 15000 : 2024,,,IS 15000 : 2024,True
T007,T007-R002,Tender for Opening of Himalayan Low-Oil Food Outlet on,IS 2491 : 2013,REVIEW_REQUIRED,1,IS 15000 : 2024,,,IS 15000 : 2024,True
T007,T007-R003,Low-Oil Food Outlet on BOT,IS 302 : 1994,REVIEW_REQUIRED,0,,,,,True
T007,T007-R004,Tender for Opening of Himalayan,NONE_ABSTAINED,NO_RELIABLE_MATCH,0,,,,,True
T008,T008-R001,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Main",IS 14846 : 2000,REVIEW_REQUIRED,25,IS 778 : 1984; IS 28 : 1982; IS 210 : 1993; IS 318 : 1981; IS 320 : 1980; IS 341 : 1973; IS 638 : 1979; IS 1030 : 1989; IS 1363 (Part 1) : 1992; IS 1538 : 1993; IS 1570 (Part 3) : 1979; IS 1865 : 1991; IS 2062 : 1992; IS 2535 : 1978; IS 2712 : 1979; IS 2932 : 1993; IS 3444 : 1987; IS 3658 : 1981; IS 4218 (Part 5) : 1979; IS 4687 : 1995; IS 4854 (Part 1) : 1969; IS 4905 : 1968; IS 5414 : 1995; IS 5660 : 1970; IS 6603 : 2000,,,IS 778 : 1984; IS 28 : 1982; IS 210 : 1993; IS 318 : 1981; IS 320 : 1980; IS 341 : 1973; IS 638 : 1979; IS 1030 : 1989; IS 1363 (Part 1) : 1992; IS 1538 : 1993; IS 1570 (Part 3) : 1979; IS 1865 : 1991; IS 2062 : 1992; IS 2535 : 1978; IS 2712 : 1979; IS 2932 : 1993; IS 3444 : 1987; IS 3658 : 1981; IS 4218 (Part 5) : 1979; IS 4687 : 1995; IS 4854 (Part 1) : 1969; IS 4905 : 1968; IS 5414 : 1995; IS 5660 : 1970; IS 6603 : 2000,True
T008,T008-R002,Valve Replacement,IS 14846 : 2000,REVIEW_REQUIRED,25,IS 778 : 1984; IS 28 : 1982; IS 210 : 1993; IS 318 : 1981; IS 320 : 1980; IS 341 : 1973; IS 638 : 1979; IS 1030 : 1989; IS 1363 (Part 1) : 1992; IS 1538 : 1993; IS 1570 (Part 3) : 1979; IS 1865 : 1991; IS 2062 : 1992; IS 2535 : 1978; IS 2712 : 1979; IS 2932 : 1993; IS 3444 : 1987; IS 3658 : 1981; IS 4218 (Part 5) : 1979; IS 4687 : 1995; IS 4854 (Part 1) : 1969; IS 4905 : 1968; IS 5414 : 1995; IS 5660 : 1970; IS 6603 : 2000,,,IS 778 : 1984; IS 28 : 1982; IS 210 : 1993; IS 318 : 1981; IS 320 : 1980; IS 341 : 1973; IS 638 : 1979; IS 1030 : 1989; IS 1363 (Part 1) : 1992; IS 1538 : 1993; IS 1570 (Part 3) : 1979; IS 1865 : 1991; IS 2062 : 1992; IS 2535 : 1978; IS 2712 : 1979; IS 2932 : 1993; IS 3444 : 1987; IS 3658 : 1981; IS 4218 (Part 5) : 1979; IS 4687 : 1995; IS 4854 (Part 1) : 1969; IS 4905 : 1968; IS 5414 : 1995; IS 5660 : 1970; IS 6603 : 2000,True
T008,T008-R003,Flange Joint Maintenance,IS 6392 : 1971,RECOMMEND_WITH_REVIEW,0,,,,,False
T008,T008-R004,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint",IS 14846 : 2000,REVIEW_REQUIRED,25,IS 778 : 1984; IS 28 : 1982; IS 210 : 1993; IS 318 : 1981; IS 320 : 1980; IS 341 : 1973; IS 638 : 1979; IS 1030 : 1989; IS 1363 (Part 1) : 1992; IS 1538 : 1993; IS 1570 (Part 3) : 1979; IS 1865 : 1991; IS 2062 : 1992; IS 2535 : 1978; IS 2712 : 1979; IS 2932 : 1993; IS 3444 : 1987; IS 3658 : 1981; IS 4218 (Part 5) : 1979; IS 4687 : 1995; IS 4854 (Part 1) : 1969; IS 4905 : 1968; IS 5414 : 1995; IS 5660 : 1970; IS 6603 : 2000,,,IS 778 : 1984; IS 28 : 1982; IS 210 : 1993; IS 318 : 1981; IS 320 : 1980; IS 341 : 1973; IS 638 : 1979; IS 1030 : 1989; IS 1363 (Part 1) : 1992; IS 1538 : 1993; IS 1570 (Part 3) : 1979; IS 1865 : 1991; IS 2062 : 1992; IS 2535 : 1978; IS 2712 : 1979; IS 2932 : 1993; IS 3444 : 1987; IS 3658 : 1981; IS 4218 (Part 5) : 1979; IS 4687 : 1995; IS 4854 (Part 1) : 1969; IS 4905 : 1968; IS 5414 : 1995; IS 5660 : 1970; IS 6603 : 2000,True
T009,T009-R001,Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD Khar,IS 732 : 2019,RECOMMEND_WITH_REVIEW,1,IS 14333 : 2022,,,IS 14333 : 2022,False
T009,T009-R002,Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD,IS 732 : 2019,RECOMMEND_WITH_REVIEW,1,IS 14333 : 2022,,,IS 14333 : 2022,False
T010,T010-R001,Sewerage Pipeline works from Collection Chamber to STP 9/4/26,IS 14333 : 2022,REVIEW_REQUIRED,7,IS 4984 : 2016; IS 2530 : 1963; IS 4905 : 2015; IS 7328 : 2020; IS 12235 (Part 18) : 2004; IS 16268 : 2017; IS 7634 (Part 2) : 2012,,IS 7634 (Part 2) : 2012,IS 4984 : 2016; IS 2530 : 1963; IS 4905 : 2015; IS 7328 : 2020; IS 12235 (Part 18) : 2004; IS 16268 : 2017,True
T010,T010-R002,Electromechanical Works and Sewerage Pipeline works from Collection Chamber to STP,IS 14333 : 2022,REVIEW_REQUIRED,7,IS 4984 : 2016; IS 2530 : 1963; IS 4905 : 2015; IS 7328 : 2020; IS 12235 (Part 18) : 2004; IS 16268 : 2017; IS 7634 (Part 2) : 2012,,IS 7634 (Part 2) : 2012,IS 4984 : 2016; IS 2530 : 1963; IS 4905 : 2015; IS 7328 : 2020; IS 12235 (Part 18) : 2004; IS 16268 : 2017,True
T011,T011-R001,Providing and laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,IS 7098 (Part 1) : 1988,REVIEW_REQUIRED,0,,,,,True
T011,T011-R002,laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,IS 7098 (Part 1) : 1988,REVIEW_REQUIRED,0,,,,,True
T012,T012-R001,"Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump ",IS 1239 (Part 2) : 1992,REVIEW_REQUIRED,0,,,,,True
T012,T012-R002,Plaster Repairing,IS 1661 : 1972,RECOMMEND,0,,,,,False
T012,T012-R003,Plumbing Fittings,IS 1239 (Part 2) : 1992,RECOMMEND,0,,,,,False
T012,T012-R004,other allied works in Strom Water Pump Room of Maurice Nagar,IS 1239 (Part 2) : 1992,REVIEW_REQUIRED,0,,,,,True
T012,T012-R005,"Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump",IS 1239 (Part 2) : 1992,REVIEW_REQUIRED,0,,,,,True
T012,T012-R006,"Repair and CC Works, Plaster Repairing, Plumbing Fittings,",IS 1239 (Part 2) : 1992,RECOMMEND,0,,,,,False
T013,T013-R001,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West",IS/IEC 61800-2 : 2015,RECOMMEND_WITH_REVIEW,1,IS 13947,,,IS 13947,True
T013,T013-R002,SITC of VFD water pump panel,IS/IEC 61800-2 : 2015,RECOMMEND_WITH_REVIEW,1,IS 13947,,,IS 13947,False
T013,T013-R003,Insulation work,IS 14164 : 2008,RECOMMEND,0,,,,,False
T013,T013-R004,replacement of by valves at ESI,IS/ISO 10434 : 2020,REVIEW_REQUIRED,1,IS 10611 : 1983,,,IS 10611 : 1983,True
T013,T013-R005,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West",IS/IEC 61800-2 : 2015,RECOMMEND_WITH_REVIEW,1,IS 13947,,,IS 13947,True
T013,T013-R006,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI Hospital Durgapur, West",IS/IEC 61439-2 : 2011,RECOMMEND_WITH_REVIEW,2,IS 8623; IS 13947,,,IS 8623; IS 13947,True
T014,T014-R001,"Design, manufacturing, inspection, supply, installation, testing and commissioning of three numbers of Process Water Pum",IS/IEC 60034-1 : 2017,REVIEW_REQUIRED,2,IS 12615 : 2018; IS 12065 : 1987,,IS 12065 : 1987,IS 12615 : 2018,True
T014,T014-R002,commissioning of three numbers of Process Water Pump motors 3.3 kV,IS/IEC 60034-1 : 2017,REVIEW_REQUIRED,2,IS 12615 : 2018; IS 12065 : 1987,,IS 12065 : 1987,IS 12615 : 2018,True
T014,T014-R003,"Design, manufacturing, inspection, supply, installation, testing and commissioning of three numbers of Process Water Pum",IS 1239 (Part 2) : 1992,REVIEW_REQUIRED,0,,,,,True
T015,T015-R001,"Construction of shed for waste collection in CDH 1 and CDH 2 at IISER Campus, Vithura",IS 302 : 2026,RECOMMEND_WITH_REVIEW,0,,,,,False
T015,T015-R002,Construction of shed for waste collection in CDH 1,IS 302 : 2026,RECOMMEND_WITH_REVIEW,0,,,,,False
T016,T016-R001,Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub Head E,SP 62 : 1997,RECOMMEND,0,,,,,False
T016,T016-R002,Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub,IS 603 : 1983,REJECT,1,IS 14846 : 2000,,,IS 14846 : 2000,True
T017,T017-R001,COMPLETE DESIGN ENGINEERING PROCUREMENT FABRICATION CONSTRUCTION ERECTION TESTING COMMISSIONING OF RAW WATER PIPELINE FR,IS 15778 : 2007,REVIEW_REQUIRED,3,IS 12235 : 2004; IS 7634 (Part 3) : 2003; IS 4985 : 2000,,IS 12235 : 2004; IS 7634 (Part 3) : 2003,IS 4985 : 2000,True
T017,T017-R002,COMMISSIONING OF RAW WATER PIPELINE FROM INTAKE WELL TO RAW WATER RESERVOIR FOR COAL TO,IS 15778 : 2007,REVIEW_REQUIRED,3,IS 12235 : 2004; IS 7634 (Part 3) : 2003; IS 4985 : 2000,,IS 12235 : 2004; IS 7634 (Part 3) : 2003,IS 4985 : 2000,True
T017,T017-R003,COMPLETE DESIGN ENGINEERING PROCUREMENT FABRICATION CONSTRUCTION ERECTION TESTING,SP 62 : 1997,RECOMMEND_WITH_REVIEW,0,,,,,False
T018,T018-R001,Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub Head E,SP 62 : 1997,RECOMMEND,0,,,,,False
T018,T018-R002,Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub,IS 603 : 1983,REJECT,1,IS 14846 : 2000,,,IS 14846 : 2000,True
T019,T019-R001,Consultancy services for Authority s Engineer for Supervision of Construction of 4 Lane Access Controlled Bypass to Tiru,IS 2491 : 2024,RECOMMEND_WITH_REVIEW,1,IS 15000 : 2024,,,IS 15000 : 2024,False
T019,T019-R002,Consultancy services for Authority s Engineer for Supervision of Construction of 4 Lane Access Controlled Bypass to,SP 70 : 2001,RECOMMEND_WITH_REVIEW,0,,,,,False
T020,T020-R001,Repair/ maint of CPVC pipe in lieu of rusted GI pipe at Laitumkhrah Grn,IS 15778 : 2007,RECOMMEND,3,IS 12235 : 2004; IS 7634 (Part 3) : 2003; IS 4985 : 2000,,IS 12235 : 2004; IS 7634 (Part 3) : 2003,IS 4985 : 2000,False
T020,T020-R002,Repair/ maint of,NONE_ABSTAINED,NO_RELIABLE_MATCH,0,,,,,True
T020,T020-R003,Repair/ maint of CPVC pipe in lieu of rusted GI pipe at,IS 15778 : 2007,RECOMMEND,3,IS 12235 : 2004; IS 7634 (Part 3) : 2003; IS 4985 : 2000,,IS 12235 : 2004; IS 7634 (Part 3) : 2003,IS 4985 : 2000,False
T020,T020-R004,Repair/ maint of CPVC pipe in,IS 15778 : 2007,RECOMMEND,3,IS 12235 : 2004; IS 7634 (Part 3) : 2003; IS 4985 : 2000,,IS 12235 : 2004; IS 7634 (Part 3) : 2003,IS 4985 : 2000,False
